Interlock Tag,Cause / Monitored Variable,Trip Threshold,System,Voting Logic,Automated Safety Action,Illustrative SIL,P&ID Ref
I-01,Emergency stop pushbutton pressed,N/A (discrete),SIS,1oo1 per station,"Stop agitator, stop heaters, trip refrigeration compressor contactor, trip vacuum pump, hold batch",SIL 2,ESD-001
I-02,Lid not fully closed while recipe requires closed vessel,ZS-101 = not-closed,SIS,1oo1,Block agitator start; hold batch,SIL 1,ZS-101
I-03,Attempt to unlock/open lid while vessel not near atmospheric,PSH-101 not satisfied,SIS,1oo1,Block lid unlock mechanism,SIL 2,PSH-101 + ZS-101
I-04,Vessel overpressure relative to external-pressure design limit during vacuum operation (loss-of-vacuum-integrity direction is covered by I-06; this covers an unintended positive-pressure event e.g. gas purge fault),PIT-101A HH,BPCS + passive relief (VRV-101),1oo1 (transmitter) + passive mechanical backup,Open vent path; alarm; hold batch. VRV-101 provides passive protection independent of any electronic trip.,SIL 1 (electronic) / passive device provides independent protection layer,PIT-101A / VRV-101
I-05,Agitator torque/current above high-high (mechanical jam protection),JIT-101 HH,BPCS,1oo1,"Stop agitator, alarm, hold batch",Not safety-rated (equipment-protection function, BPCS only),JIT-101
I-06,Unexpected loss of vacuum during Primary or Secondary Drying,PIT-101A HH during a drying phase,BPCS,1oo1,"Stop jacket heating, alarm, hold batch pending operator review",Not safety-rated (process-protection function, BPCS only),PIT-101A
I-07,Material collector filter differential pressure above high-high,PDT-102 HH,BPCS,1oo1,"Trip vacuum pump, alarm, hold batch",Not safety-rated (equipment-protection function, BPCS only),PDT-102
I-08,Barrier gas (double mechanical seal) pressure below low-low,new tag PIT-701 (barrier gas supply),SIS,1oo1 (1oo2 recommended if seal integrity is safety-critical for the specific product),"Stop agitator, alarm, hold batch",SIL 1-2 depending on product hazard classification (confirm via LOPA),Agitator seal (file 05 addendum)
I-09,Oxygen concentration below safe threshold in equipment room (LN2/dry-ice direct-freeze option only),AT-601 LL,SIS,1oo1 (1oo2 recommended for occupied spaces),"Stop agitator, stop heating, trip refrigeration compressor, sound room evacuation alarm, hold batch",SIL 2,AT-601
I-10,Vacuum pump run feedback lost while recipe expects running,ZS-401 = stopped,BPCS,1oo1,"Stop jacket heating, alarm, hold batch",Not safety-rated (process-protection function, BPCS only),ZS-401
I-11,Attempt to open discharge valve while vessel still under vacuum,PIT-101A (not near-atm) AND XV-105 open command,SIS,1oo1,Block XV-105 open command,SIL 2,PIT-101A + XV-105
I-12,CIP or SIP initiated while lid not confirmed closed/sealed,ZS-101,SIS,1oo1,Block CIP/SIP start,SIL 1,ZS-101
I-13,SIP steam temperature/pressure above jacket rated limit,TT-503 HH / steam supply pressure HH,BPCS + passive relief (PSV-501),1oo1 (transmitter) + passive mechanical backup,"Close PV-502, alarm, hold batch. PSV-501 provides passive protection independent of any electronic trip.",Not safety-rated (electronic) / passive device provides independent protection layer,TT-503 / PSV-501
